Name,Type,County,,,
Inglewood,City,Los Angeles,,,
Ione,City,Amador,,,
Irvine,City,Orange,,,
Irwindale,City,Los Angeles,,,
Isleton,City,Sacramento,,,
Jackson,City,Amador,,,
Jurupa Valley,City,Riverside,,,
Kerman,City,Fresno,,,
King City,City,Monterey,,,
Kingsburg,City,Fresno,,,
La Cañada Flintridge,City,Los Angeles,,,
La Habra,City,Orange,,,
La Habra Heights,City,Los Angeles,,,
La Mesa,City,San Diego,,,
La Mirada,City,Los Angeles,,,
La Palma,City,Orange,,,
La Puente,City,Los Angeles,,,
La Quinta,City,Riverside,,,
La Verne,City,Los Angeles,,,
Lafayette,City,Contra Costa,,,
Laguna Beach,City,Orange,,,
Laguna Hills,City,Orange,,,
Laguna Niguel,City,Orange,,,
Laguna Woods,City,Orange,,,
Lake Elsinore,City,Riverside,,,
Lake Forest,City,Orange,,,
Lakeport,City,Lake,,,
Lakewood,City,Los Angeles,,,
Lancaster,City,Los Angeles,,,
Larkspur,City,Marin,,,
Lathrop,City,San Joaquin,,,
Lawndale,City,Los Angeles,,,
Lemon Grove,City,San Diego,,,
Lemoore,City,Kings,,,
Lincoln,City,Placer,,,
Lindsay,City,Tulare,,,
Live Oak,City,Sutter,,,
Livermore,City,Alameda,,,
Livingston,City,Merced,,,
Lodi,City,San Joaquin,,,
Loma Linda,City,San Bernardino,,,
Lomita,City,Los Angeles,,,
Lompoc,City,Santa Barbara,,,
Long Beach,City,Los Angeles,,,
Loomis,Town,Placer,,,
Los Alamitos,City,Orange,,,
Los Altos,City,Santa Clara,,,
Los Altos Hills,Town,Santa Clara,,,
Los Angeles,City,Los Angeles,,,
Los Banos,City,Merced,,,
Los Gatos,Town,Santa Clara,,,
Loyalton,City,Sierra,,,
Lynwood,City,Los Angeles,,,
Madera,City,Madera,,,
Malibu,City,Los Angeles,,,
Mammoth Lakes,Town,Mono,,,
Manhattan Beach,City,Los Angeles,,,
Manteca,City,San Joaquin,,,
Maricopa,City,Kern,,,
Marina,City,Monterey,,,
Martinez,City,Contra Costa,,,
Marysville,City,Yuba,,,
Maywood,City,Los Angeles,,,
McFarland,City,Kern,,,
Mendota,City,Fresno,,,
Menifee,City,Riverside,,,
Menlo Park,City,San Mateo,,,
Merced,City,Merced,,,
Mill Valley,City,Marin,,,
Millbrae,City,San Mateo,,,
Milpitas,City,Santa Clara,,,
Mission Viejo,City,Orange,,,
Modesto,City,Stanislaus,,,
Monrovia,City,Los Angeles,,,
Montague,City,Siskiyou,,,
Montclair,City,San Bernardino,,,
Monte Sereno,City,Santa Clara,,,
Montebello,City,Los Angeles,,,
Monterey,City,Monterey,,,
Monterey Park,City,Los Angeles,,,
Moorpark,City,Ventura,,,
Moraga,Town,Contra Costa,,,
Moreno Valley,City,Riverside,,,
Morgan Hill,City,Santa Clara,,,
Morro Bay,City,San Luis Obispo,,,
Mount Shasta,City,Siskiyou,,,
Mountain View,City,Santa Clara,,,
Murrieta,City,Riverside,,,
Napa,City,Napa,,,
National City,City,San Diego,,,
Needles,City,San Bernardino,,,
Nevada City,City,Nevada,,,
Newark,City,Alameda,,,
Newman,City,Stanislaus,,,
Newport Beach,City,Orange,,,
Norco,City,Riverside,,,
Norwalk,City,Los Angeles,,,
Novato,City,Marin,,,
Oakdale,City,Stanislaus,,,
Oakland,City,Alameda,,,
Oakley,City,Contra Costa,,,
Oceanside,City,San Diego,,,
Ojai,City,Ventura,,,
Ontario,City,San Bernardino,,,
Orange,City,Orange,,,
Orange Cove,City,Fresno,,,
Orinda,City,Contra Costa,,,
Orland,City,Glenn,,,
Oroville,City,Butte,,,
Oxnard,City,Ventura,,,
Pacific Grove,City,Monterey,,,
Pacifica,City,San Mateo,,,
Palm Desert,City,Riverside,,,
Palm Springs,City,Riverside,,,
Palmdale,City,Los Angeles,,,
Palo Alto,City,Santa Clara,,,
Palos Verdes Estates,City,Los Angeles,,,
Paradise,Town,Butte,,,
Paramount,City,Los Angeles,,,
Parlier,City,Fresno,,,
Pasadena,City,Los Angeles,,,
Paso Robles,City,San Luis Obispo,,,
Patterson,City,Stanislaus,,,
Perris,City,Riverside,,,
Petaluma,City,Sonoma,,,
Pico Rivera,City,Los Angeles,,,
Piedmont,City,Alameda,,,
Pinole,City,Contra Costa,,,
Pismo Beach,City,San Luis Obispo,,,
Pittsburg,City,Contra Costa,,,
Placentia,City,Orange,,,
Placerville,City,El Dorado,,,
Pleasant Hill,City,Contra Costa,,,
Pleasanton,City,Alameda,,,
Plymouth,City,Amador,,,
Point Arena,City,Mendocino,,,
Pomona,City,Los Angeles,,,
Port Hueneme,City,Ventura,,,
Porterville,City,Tulare,,,
Portola,City,Plumas,,,
Portola Valley,Town,San Mateo,,,
Poway,City,San Diego,,,
Rancho Cordova,City,Sacramento,,,
Rancho Cucamonga,City,San Bernardino,,,
Rancho Mirage,City,Riverside,,,
Rancho Palos Verdes,City,Los Angeles,,,
Rancho Santa Margarita,City,Orange,,,
Red Bluff,City,Tehama,,,
Redding,City,Shasta,,,
Redlands,City,San Bernardino,,,
Redondo Beach,City,Los Angeles,,,
Redwood City,City,San Mateo,,,
Reedley,City,Fresno,,,
Rialto,City,San Bernardino,,,
Richmond,City,Contra Costa,,,
Ridgecrest,City,Kern,,,
Rio Dell,City,Humboldt,,,
Rio Vista,City,Solano,,,
Ripon,City,San Joaquin,,,
Riverbank,City,Stanislaus,,,
Riverside,City,Riverside,,,
Rocklin,City,Placer,,,
Rohnert Park,City,Sonoma,,,
Rolling Hills,City,Los Angeles,,,
Rolling Hills Estates,City,Los Angeles,,,
Rosemead,City,Los Angeles,,,
Roseville,City,Placer,,,
Ross,Town,Marin,,,
Sacramento,City,Sacramento,,,
Salinas,City,Monterey,,,
San Anselmo,Town,Marin,,,
San Bernardino,City,San Bernardino,,,
San Bruno,City,San Mateo,,,
San Carlos,City,San Mateo,,,
San Clemente,City,Orange,,,
San Diego,City,San Diego,,,
San Dimas,City,Los Angeles,,,
San Fernando,City,Los Angeles,,,
San Francisco,City and county,San Francisco,,,
San Gabriel,City,Los Angeles,,,
San Jacinto,City,Riverside,,,
San Joaquin,City,Fresno,,,
San Jose,City,Santa Clara,,,
San Juan Bautista,City,San Benito,,,
San Juan Capistrano,City,Orange,,,
San Leandro,City,Alameda,,,
San Luis Obispo,City,San Luis Obispo,,,
San Marcos,City,San Diego,,,
San Marino,City,Los Angeles,,,
San Mateo,City,San Mateo,,,
San Pablo,City,Contra Costa,,,
San Rafael,City,Marin,,,
San Ramon,City,Contra Costa,,,
Sand City,City,Monterey,,,
Sanger,City,Fresno,,,
Santa Ana,City,Orange,,,
Santa Barbara,City,Santa Barbara,,,
Santa Clara,City,Santa Clara,,,
Santa Clarita,City,Los Angeles,,,
Santa Cruz,City,Santa Cruz,,,
Santa Fe Springs,City,Los Angeles,,,
Santa Maria,City,Santa Barbara,,,
Santa Monica,City,Los Angeles,,,
Santa Paula,City,Ventura,,,
Santa Rosa,City,Sonoma,,,
Santee,City,San Diego,,,
Saratoga,City,Santa Clara,,,
Sausalito,City,Marin,,,
Scotts Valley,City,Santa Cruz,,,
Seal Beach,City,Orange,,,
Seaside,City,Monterey,,,
Sebastopol,City,Sonoma,,,
Selma,City,Fresno,,,
Shafter,City,Kern,,,
Shasta Lake,City,Shasta,,,
Sierra Madre,City,Los Angeles,,,
Signal Hill,City,Los Angeles,,,
Simi Valley,City,Ventura,,,
